MAR_Level,Accuracy,F1_Score,ROC_AUC
5,0.9191919191919192,0.9398496240601504,0.9002359285473541
10,0.9141414141414141,0.9363295880149812,0.9000112346927311
20,0.9242424242424242,0.9433962264150944,0.8990001123469273
30,0.9191919191919192,0.9398496240601504,0.8995618469834848
