Feature,Importance
wbc_count,1.6345324149976426
platelet_count,0.5998321991347771
hemoglobin_g_dl,0.21352909584689853
age,0.21158771588782674
platelet_distribution_width,0.10794721475102975
gender,0.06578233763972131
rbc_count,0.03188879064171819
differential_count,0.0012647955628498906
