Feature,Importance,Rank_MAR,MAR_Level
age,0.21158771588782674,1.0,0
gender,0.06578233763972131,2.0,0
hemoglobin_g_dl,0.21352909584689853,3.0,0
wbc_count,1.6345324149976426,4.0,0
differential_count,0.0012647955628498906,5.0,0
rbc_count,0.03188879064171819,6.0,0
platelet_count,0.5998321991347771,7.0,0
platelet_distribution_width,0.10794721475102975,8.0,0
age,0.2254490517664365,3.0,5
gender,0.07597681467589348,6.0,5
hemoglobin_g_dl,0.1993946029658824,4.0,5
wbc_count,1.5786599072103495,1.0,5
differential_count,0.006109512791571616,8.0,5
rbc_count,0.012813657041757477,7.0,5
platelet_count,0.6463023032242617,2.0,5
platelet_distribution_width,0.12231664126568866,5.0,5
age,0.19147051417439637,4.0,10
gender,0.06542638509775066,6.0,10
hemoglobin_g_dl,0.20598821633020126,3.0,10
wbc_count,1.6453414545465523,1.0,10
differential_count,0.020629853342445967,8.0,10
rbc_count,0.039323828873270426,7.0,10
platelet_count,0.6485173932056243,2.0,10
platelet_distribution_width,0.13166688998131656,5.0,10
age,0.20837402870742372,3.0,20
gender,0.05943361689249925,7.0,20
hemoglobin_g_dl,0.17885702940028847,4.0,20
wbc_count,1.5589616796632189,1.0,20
differential_count,0.09648363471385121,6.0,20
rbc_count,0.03942586385466561,8.0,20
platelet_count,0.6890480262455402,2.0,20
platelet_distribution_width,0.12764530163517124,5.0,20
age,0.17758517228751713,4.0,30
gender,0.06387511024543087,6.0,30
hemoglobin_g_dl,0.1956614585612899,3.0,30
wbc_count,1.5751940482392035,1.0,30
differential_count,0.03290234033337425,8.0,30
rbc_count,0.05710377514755443,7.0,30
platelet_count,0.7862929055537374,2.0,30
platelet_distribution_width,0.1505291622790248,5.0,30
age,0.20955811543268285,3.0,40
gender,0.0804931404077399,5.0,40
hemoglobin_g_dl,0.07357626263235725,6.0,40
wbc_count,1.733027744540659,1.0,40
differential_count,0.048642357196405216,8.0,40
rbc_count,0.06757785686353629,7.0,40
platelet_count,0.6282531347246885,2.0,40
platelet_distribution_width,0.1267096009391114,4.0,40
age,0.22252215079307747,3.0,50
gender,0.07786103128248174,5.0,50
hemoglobin_g_dl,0.0034254821535793047,8.0,50
wbc_count,1.5770475929652144,1.0,50
differential_count,0.0628704682080991,6.0,50
rbc_count,0.00554270717912436,7.0,50
platelet_count,0.8022583912338623,2.0,50
platelet_distribution_width,0.10472560811817583,4.0,50
age,0.1767648888824129,3.0,60
gender,0.0922566664580403,5.0,60
hemoglobin_g_dl,0.02011796224804133,8.0,60
wbc_count,1.5290249325176328,1.0,60
differential_count,0.06599839282611429,7.0,60
rbc_count,0.1072275805994443,4.0,60
platelet_count,0.8288575741613631,2.0,60
platelet_distribution_width,0.06687883632017891,6.0,60
age,0.16489164404170928,3.0,70
gender,0.11619102589938189,5.0,70
hemoglobin_g_dl,0.05208319221775769,8.0,70
wbc_count,1.4250552620724262,1.0,70
differential_count,0.07075365081659478,7.0,70
rbc_count,0.12139443125456806,4.0,70
platelet_count,0.8858337669165718,2.0,70
platelet_distribution_width,0.07089250519682935,6.0,70
age,0.15057902860267197,3.0,80
gender,0.07431578839110368,6.0,80
hemoglobin_g_dl,0.06368306211284838,7.0,80
wbc_count,1.4514833591541771,1.0,80
differential_count,0.09927076161942074,4.0,80
rbc_count,0.05762535808506013,8.0,80
platelet_count,0.8820599642795702,2.0,80
platelet_distribution_width,0.07690050125751194,5.0,80
