MAR_Level,Missing_Values,Accuracy,F1_Score,ROC_AUC
5,146,0.9242424242424242,0.9425287356321839,0.9027637344118639
10,248,0.9343434343434344,0.9501915708812261,0.9138299067520503
20,432,0.9242424242424242,0.9425287356321839,0.9195596000449386
30,593,0.9242424242424242,0.9425287356321839,0.9082125603864732
40,744,0.9242424242424242,0.9429657794676806,0.9062464891585216
50,881,0.9292929292929293,0.9465648854961832,0.9117514885967868
60,1003,0.9292929292929293,0.9465648854961832,0.9184361307718233
70,1159,0.9242424242424242,0.9425287356321839,0.9124255701606562
80,1250,0.9292929292929293,0.9465648854961832,0.9219188855184811
