Feature,Importance
wbc_count,0.20127871892578622
platelet_count,0.1252201510714936
platelet_distribution_width,0.03255307383452932
hemoglobin_g_dl,0.02472560841573277
age,0.02111506517370168
gender,0.010471963837572325
rbc_count,0.005094564268324389
differential_count,0.0035097249235797904
